"Name","eval/fineweb/Perplexity","eval/fineweb/CrossEntropyLoss","val_loss","ratio","params","tokens","total_flops","model.vocab_size","device_train_microbatch_size","optimizer.learning_rate","State","Notes","User","Tags","Created","Runtime","Sweep","canceled_check_interval","compile.mode","console_log_interval","datasets.drop_last","datasets.generate_attention_mask","datasets.load_extra_data_to_ram","datasets.memmap_dtype","datasets.name","datasets.num_workers","datasets.pad_direction","datasets.paths","datasets.persistent_workers","datasets.pin_memory","datasets.prefetch_factor","datasets.timeout","datasets.tokenizer_used","datatrove_dataset","device_eval_batch_size","device_train_batch_size","device_train_grad_accum","dry_run","eval_interval","eval_on_load","eval_subset_num_batches","evaluators","extra_steps_after_cancel","fsdp.precision","fsdp.sharding_strategy","fsdp.use_orig_params","gen1_gc_interval","just_score_model","load_path","max_duration","max_grad_norm","model.a_mx_format","model.activation_type","model.alibi","model.attention_dropout","model.alibi_bias_max","model.attention_layer_norm","model.attention_layer_norm_with_affine","model.bias_for_layer_norm","model.block_group_size","model.block_type","model.context_length","model.d_model","model.embedding_dropout","model.embedding_size","model.eos_token_id","model.flash_attention","model.include_bias","model.init_device","model.init_fn","model.init_std","model.layer_norm_type","model.layer_norm_with_affine","model.mlp_ratio","model.multi_query_attention","model.n_heads","model.n_layers","model.pad_token_id","model.precision","model.residual_dropout","model.rope","model.rope_full_precision","model.scale_logits","model.w_mx_format","model.weight_tying","no_pre_train_checkpoint","precision","python_profiling","requeue","reset_optimizer_state","reset_trainer_state","restore_dataloader","run_name","save_data_indices","save_folder","save_interval","save_interval_unsharded","save_num_checkpoints_to_keep","save_num_unsharded_checkpoints_to_keep","save_overwrite","scheduler.alpha_f","scheduler.name","scheduler.t_warmup","scheduler.units","score_hf","seed","sharded_checkpointer","speed_monitor.window_size","tokenizer.identifier","tokenizer.truncate_direction","training.batch_size","System/Peak GPU Memory (MB)","eval/downstream/arc_challenge_test_len_norm","eval/downstream/arc_easy_test_acc","eval/downstream/boolq_test_acc","eval/downstream/hellaswag_test_ctx_ce_loss","eval/downstream/hellaswag_test_len_norm","eval/downstream/openbook_qa_test_ctx_ce_loss","eval/downstream/openbook_qa_test_len_norm","eval/downstream/piqa_test_ctx_ce_loss","eval/downstream/piqa_test_len_norm","eval/downstream/sciq_test_acc","eval/downstream/winogrande_test_acc","eval/downstream_ce_loss/arc_challenge_test_ce_loss","eval/downstream_ce_loss/arc_easy_test_ce_loss","eval/downstream_ce_loss/boolq_test_ce_loss","eval/downstream_ce_loss/hellaswag_test_ce_loss","eval/downstream_ce_loss/openbook_qa_test_ce_loss","eval/downstream_ce_loss/piqa_test_ce_loss","eval/downstream_ce_loss/sciq_test_ce_loss","eval/downstream_ce_loss/winogrande_test_ce_loss","eval/redpajama_val/Perplexity","softmax_auxiliary_loss"
"bfloat32","","","1.6438145637512207","6.127782506641904","161279040","988282880","956352499790040200","32100","128","0.0008","finished","-","","watching","2025-04-02T21:19:52.000Z","801","","50","default","10","true","false","false","uint16","algebraic-stack","16","right","/n/holylfs06/LABS/kempner_shared/Everyone/testbed/text/redpajama-v1/tokenized/t5-base/arxiv","true","true","16","0","t5-base","false","64","32","0","false","377","false","100","[{""device_eval_batch_size"":null,""sft"":false,""data"":{""paths"":null,""extra_data_key"":null,""extra_data_paths"":null,""label_mask_paths"":null,""load_extra_data_to_ram"":false,""seed"":null,""datasets"":{""redpajama_val"":""redpajama-val""},""index_path"":null,""pad_direction"":""right"",""tokenizer_used"":null,""prefetch_factor"":null,""persistent_workers"":false,""name"":null,""timeout"":0,""drop_last"":true,""pin_memory"":false,""memmap_dtype"":""uint16"",""weighted_paths"":null,""num_workers"":0,""generate_attention_mask"":false},""type"":""lm"",""ce_wrapper"":false,""sft_use_label"":false,""ctx_ce_wrapper"":false,""subset_num_batches"":null,""label"":""redpajama""}]","10","mixed","FULL_SHARD","true","1","false","","3770","1","bfloat16","gelu","false","0","8","true","true","false","1","sequential","512","832","0","32100","2","false","false","meta","mitchell","0.02","default","true","4","false","13","13","0","amp_bf16","0","true","true","false","bfloat16","false","false","amp_bf16","false","true","false","false","true","olmo_8809231_26","false","/n/netscratch/sham_lab/Lab/chloe00/ckpts/flops_bfloat16_bfloat16_26/","1000","100000","1","1","true","0.1","cosine_with_warmup","754","steps","false","0","torch_legacy","1","google-t5/t5-base","right","512","14726.66015625","","","","","","","","","","","","","","","","","","","","5.174871921539307","false"
"bfloat32","","","1.6373050212860107","8.859683579457286","134124288","1188298752","956352499790040200","32100","128","0.0008","finished","-","","watching","2025-04-02T21:15:53.000Z","798","","50","default","10","true","false","false","uint16","algebraic-stack","16","right","/n/holylfs06/LABS/kempner_shared/Everyone/testbed/text/redpajama-v1/tokenized/t5-base/arxiv","true","true","16","0","t5-base","false","64","32","0","false","453","false","100","[{""sft"":false,""data"":{""index_path"":null,""pin_memory"":false,""pad_direction"":""right"",""weighted_paths"":null,""generate_attention_mask"":false,""extra_data_key"":null,""label_mask_paths"":null,""load_extra_data_to_ram"":false,""name"":null,""seed"":null,""timeout"":0,""drop_last"":true,""memmap_dtype"":""uint16"",""paths"":null,""datasets"":{""redpajama_val"":""redpajama-val""},""num_workers"":0,""tokenizer_used"":null,""prefetch_factor"":null,""extra_data_paths"":null,""persistent_workers"":false},""type"":""lm"",""label"":""redpajama"",""sft_use_label"":false,""ctx_ce_wrapper"":false,""device_eval_batch_size"":null,""ce_wrapper"":false,""subset_num_batches"":null}]","10","mixed","FULL_SHARD","true","1","false","","4533","1","bfloat16","gelu","false","0","8","true","true","false","1","sequential","512","768","0","32100","2","false","false","meta","mitchell","0.02","default","true","4","false","12","12","0","amp_bf16","0","true","true","false","bfloat16","false","false","amp_bf16","false","true","false","false","true","olmo_8809231_25","false","/n/netscratch/sham_lab/Lab/chloe00/ckpts/flops_bfloat16_bfloat16_25/","1000","100000","1","1","true","0.1","cosine_with_warmup","906","steps","false","0","torch_legacy","1","google-t5/t5-base","right","512","13333.177734375","","","","","","","","","","","","","","","","","","","","5.141295433044434","false"
"bfloat32","","","1.6379786729812622","19.616106105466447","90138240","1768161280","956352499790040200","32100","128","0.0008","finished","-","","watching","2025-04-02T20:59:27.000Z","940","","50","default","10","true","false","false","uint16","algebraic-stack","16","right","/n/holylfs06/LABS/kempner_shared/Everyone/testbed/text/redpajama-v1/tokenized/t5-base/arxiv","true","true","16","0","t5-base","false","64","32","0","false","674","false","100","[{""ctx_ce_wrapper"":false,""subset_num_batches"":null,""device_eval_batch_size"":null,""data"":{""timeout"":0,""prefetch_factor"":null,""label_mask_paths"":null,""persistent_workers"":false,""paths"":null,""datasets"":{""redpajama_val"":""redpajama-val""},""drop_last"":true,""index_path"":null,""num_workers"":0,""pad_direction"":""right"",""tokenizer_used"":null,""generate_attention_mask"":false,""seed"":null,""pin_memory"":false,""weighted_paths"":null,""extra_data_paths"":null,""name"":null,""memmap_dtype"":""uint16"",""extra_data_key"":null,""load_extra_data_to_ram"":false},""label"":""redpajama"",""ce_wrapper"":false,""sft_use_label"":false,""sft"":false,""type"":""lm""}]","10","mixed","FULL_SHARD","true","1","false","","6745","1","bfloat16","gelu","false","0","8","true","true","false","1","sequential","512","640","0","32100","2","false","false","meta","mitchell","0.02","default","true","4","false","10","10","0","amp_bf16","0","true","true","false","bfloat16","false","false","amp_bf16","false","true","false","false","true","olmo_8794040_23","false","/n/netscratch/sham_lab/Lab/chloe00/ckpts/flops_bfloat16_bfloat16_23/","1000","100000","1","1","true","0.1","cosine_with_warmup","1349","steps","false","0","torch_legacy","1","google-t5/t5-base","right","512","10889.1416015625","","","","","","","","","","","","","","","","","","","","5.144759654998779","false"
"bfloat32","","","1.6352589130401611","13.051574011280458","110508992","1442316288","956352499790040200","32100","128","0.0008","finished","-","","watching","2025-04-02T20:58:31.000Z","890","","50","default","10","true","false","false","uint16","algebraic-stack","16","right","/n/holylfs06/LABS/kempner_shared/Everyone/testbed/text/redpajama-v1/tokenized/t5-base/arxiv","true","true","16","0","t5-base","false","64","32","0","false","550","false","100","[{""ctx_ce_wrapper"":false,""sft"":false,""label"":""redpajama"",""ce_wrapper"":false,""subset_num_batches"":null,""device_eval_batch_size"":null,""data"":{""pad_direction"":""right"",""extra_data_key"":null,""load_extra_data_to_ram"":false,""paths"":null,""timeout"":0,""index_path"":null,""prefetch_factor"":null,""datasets"":{""redpajama_val"":""redpajama-val""},""memmap_dtype"":""uint16"",""weighted_paths"":null,""label_mask_paths"":null,""generate_attention_mask"":false,""seed"":null,""pin_memory"":false,""num_workers"":0,""tokenizer_used"":null,""extra_data_paths"":null,""persistent_workers"":false,""name"":null,""drop_last"":true},""type"":""lm"",""sft_use_label"":false}]","10","mixed","FULL_SHARD","true","1","false","","5502","1","bfloat16","gelu","false","0","8","true","true","false","1","sequential","512","704","0","32100","2","false","false","meta","mitchell","0.02","default","true","4","false","11","11","0","amp_bf16","0","true","true","false","bfloat16","false","false","amp_bf16","false","true","false","false","true","olmo_8794040_24","false","/n/netscratch/sham_lab/Lab/chloe00/ckpts/flops_bfloat16_bfloat16_24/","1000","100000","1","1","true","0.1","cosine_with_warmup","1100","steps","false","0","torch_legacy","1","google-t5/t5-base","right","512","12055.013671875","","","","","","","","","","","","","","","","","","","","5.130786418914795","false"
"bfloat32","","","1.644274115562439","30.14126500059408","72717120","2191785984","956352499790040200","32100","128","0.0008","finished","-","","watching","2025-04-02T20:36:57.000Z","1078","","50","default","10","true","false","false","uint16","algebraic-stack","16","right","/n/holylfs06/LABS/kempner_shared/Everyone/testbed/text/redpajama-v1/tokenized/t5-base/arxiv","true","true","16","0","t5-base","false","64","32","0","false","836","false","100","[{""sft"":false,""ce_wrapper"":false,""sft_use_label"":false,""ctx_ce_wrapper"":false,""device_eval_batch_size"":null,""data"":{""memmap_dtype"":""uint16"",""pad_direction"":""right"",""tokenizer_used"":null,""extra_data_paths"":null,""load_extra_data_to_ram"":false,""generate_attention_mask"":false,""drop_last"":true,""pin_memory"":false,""weighted_paths"":null,""persistent_workers"":false,""timeout"":0,""datasets"":{""redpajama_val"":""redpajama-val""},""index_path"":null,""extra_data_key"":null,""prefetch_factor"":null,""label_mask_paths"":null,""name"":null,""seed"":null,""paths"":null,""num_workers"":0},""type"":""lm"",""label"":""redpajama"",""subset_num_batches"":null}]","10","mixed","FULL_SHARD","true","1","false","","8361","1","bfloat16","gelu","false","0","8","true","true","false","1","sequential","512","576","0","32100","2","false","false","meta","mitchell","0.02","default","true","4","false","9","9","0","amp_bf16","0","true","true","false","bfloat16","false","false","amp_bf16","false","true","false","false","true","olmo_8794040_22","false","/n/netscratch/sham_lab/Lab/chloe00/ckpts/flops_bfloat16_bfloat16_22/","1000","100000","1","1","true","0.1","cosine_with_warmup","1672","steps","false","0","torch_legacy","1","google-t5/t5-base","right","512","10771.8623046875","","","","","","","","","","","","","","","","","","","","5.177250385284424","false"
"bfloat32","","","1.656643629074097","47.46127136988117","57950720","2750414848","956352499790040200","32100","128","0.0008","finished","-","","watching","2025-04-02T20:36:55.000Z","1118","","50","default","10","true","false","false","uint16","algebraic-stack","16","right","/n/holylfs06/LABS/kempner_shared/Everyone/testbed/text/redpajama-v1/tokenized/t5-base/arxiv","true","true","16","0","t5-base","false","64","32","0","false","1049","false","100","[{""ce_wrapper"":false,""ctx_ce_wrapper"":false,""device_eval_batch_size"":null,""sft"":false,""type"":""lm"",""sft_use_label"":false,""subset_num_batches"":null,""data"":{""generate_attention_mask"":false,""timeout"":0,""index_path"":null,""num_workers"":0,""extra_data_key"":null,""prefetch_factor"":null,""load_extra_data_to_ram"":false,""paths"":null,""datasets"":{""redpajama_val"":""redpajama-val""},""drop_last"":true,""pin_memory"":false,""name"":null,""seed"":null,""memmap_dtype"":""uint16"",""weighted_paths"":null,""extra_data_paths"":null,""label_mask_paths"":null,""pad_direction"":""right"",""tokenizer_used"":null,""persistent_workers"":false},""label"":""redpajama""}]","10","mixed","FULL_SHARD","true","1","false","","10492","1","bfloat16","gelu","false","0","8","true","true","false","1","sequential","512","512","0","32100","2","false","false","meta","mitchell","0.02","default","true","4","false","8","8","0","amp_bf16","0","true","true","false","bfloat16","false","false","amp_bf16","false","true","false","false","true","olmo_8794040_21","false","/n/netscratch/sham_lab/Lab/chloe00/ckpts/flops_bfloat16_bfloat16_21/","1000","100000","1","1","true","0.1","cosine_with_warmup","2098","steps","false","0","torch_legacy","1","google-t5/t5-base","right","512","10731.8662109375","","","","","","","","","","","","","","","","","","","","5.241688251495361","false"
"bfloat32","","","1.6798380613327026","76.84025479640317","45544128","3499622400","956352499790040200","32100","128","0.0008","finished","-","","watching","2025-04-02T20:12:06.000Z","1236","","50","default","10","true","false","false","uint16","algebraic-stack","16","right","/n/holylfs06/LABS/kempner_shared/Everyone/testbed/text/redpajama-v1/tokenized/t5-base/arxiv","true","true","16","0","t5-base","false","64","32","0","false","1335","false","100","[{""device_eval_batch_size"":null,""type"":""lm"",""label"":""redpajama"",""sft_use_label"":false,""ctx_ce_wrapper"":false,""sft"":false,""data"":{""tokenizer_used"":null,""timeout"":0,""datasets"":{""redpajama_val"":""redpajama-val""},""index_path"":null,""num_workers"":0,""memmap_dtype"":""uint16"",""name"":null,""pin_memory"":false,""pad_direction"":""right"",""weighted_paths"":null,""load_extra_data_to_ram"":false,""seed"":null,""drop_last"":true,""extra_data_key"":null,""extra_data_paths"":null,""persistent_workers"":false,""generate_attention_mask"":false,""paths"":null,""prefetch_factor"":null,""label_mask_paths"":null},""ce_wrapper"":false,""subset_num_batches"":null}]","10","mixed","FULL_SHARD","true","1","false","","13350","1","bfloat16","gelu","false","0","8","true","true","false","1","sequential","512","448","0","32100","2","false","false","meta","mitchell","0.02","default","true","4","false","7","7","0","amp_bf16","0","true","true","false","bfloat16","false","false","amp_bf16","false","true","false","false","true","olmo_8794040_20","false","/n/netscratch/sham_lab/Lab/chloe00/ckpts/flops_bfloat16_bfloat16_20/","1000","100000","1","1","true","0.1","cosine_with_warmup","2670","steps","false","0","torch_legacy","1","google-t5/t5-base","right","512","10697.4189453125","","","","","","","","","","","","","","","","","","","","5.364686965942383","false"
"bfloat32","","","1.713176131248474","128.6204080445351","35202432","4527751168","956352499790040200","32100","128","0.0008","finished","-","","watching","2025-04-02T20:09:26.000Z","1438","","50","default","10","true","false","false","uint16","algebraic-stack","16","right","/n/holylfs06/LABS/kempner_shared/Everyone/testbed/text/redpajama-v1/tokenized/t5-base/arxiv","true","true","16","0","t5-base","false","64","32","0","false","1727","false","100","[{""sft"":false,""label"":""redpajama"",""ce_wrapper"":false,""ctx_ce_wrapper"":false,""subset_num_batches"":null,""data"":{""seed"":null,""paths"":null,""memmap_dtype"":""uint16"",""weighted_paths"":null,""extra_data_paths"":null,""label_mask_paths"":null,""timeout"":0,""drop_last"":true,""index_path"":null,""pin_memory"":false,""pad_direction"":""right"",""extra_data_key"":null,""tokenizer_used"":null,""persistent_workers"":false,""generate_attention_mask"":false,""datasets"":{""redpajama_val"":""redpajama-val""},""num_workers"":0,""prefetch_factor"":null,""load_extra_data_to_ram"":false,""name"":null},""type"":""lm"",""sft_use_label"":false,""device_eval_batch_size"":null}]","10","mixed","FULL_SHARD","true","1","false","","17272","1","bfloat16","gelu","false","0","8","true","true","false","1","sequential","512","384","0","32100","2","false","false","meta","mitchell","0.02","default","true","4","false","6","6","0","amp_bf16","0","true","true","false","bfloat16","false","false","amp_bf16","false","true","false","false","true","olmo_8794040_19","false","/n/netscratch/sham_lab/Lab/chloe00/ckpts/flops_bfloat16_bfloat16_19/","1000","100000","1","1","true","0.1","cosine_with_warmup","3454","steps","false","0","torch_legacy","1","google-t5/t5-base","right","512","10668.5966796875","","","","","","","","","","","","","","","","","","","","5.5465497970581055","false"
"bfloat32","","","1.7605317831039429","2.8022008067508337","161279040","451936256","437344829577312000","32100","128","0.0008","finished","-","","watching","2025-04-02T20:00:58.000Z","508","","50","default","10","true","false","false","uint16","algebraic-stack","16","right","/n/holylfs06/LABS/kempner_shared/Everyone/testbed/text/redpajama-v1/tokenized/t5-base/arxiv","true","true","16","0","t5-base","false","64","32","0","false","172","false","100","[{""sft"":false,""type"":""lm"",""ctx_ce_wrapper"":false,""subset_num_batches"":null,""data"":{""timeout"":0,""label_mask_paths"":null,""generate_attention_mask"":false,""name"":null,""index_path"":null,""pad_direction"":""right"",""extra_data_key"":null,""tokenizer_used"":null,""weighted_paths"":null,""extra_data_paths"":null,""seed"":null,""paths"":null,""drop_last"":true,""num_workers"":0,""memmap_dtype"":""uint16"",""prefetch_factor"":null,""persistent_workers"":false,""load_extra_data_to_ram"":false,""datasets"":{""redpajama_val"":""redpajama-val""},""pin_memory"":false},""label"":""redpajama"",""ce_wrapper"":false,""sft_use_label"":false,""device_eval_batch_size"":null}]","10","mixed","FULL_SHARD","true","1","false","","1724","1","bfloat16","gelu","false","0","8","true","true","false","1","sequential","512","832","0","32100","2","false","false","meta","mitchell","0.02","default","true","4","false","13","13","0","amp_bf16","0","true","true","false","bfloat16","false","false","amp_bf16","false","true","false","false","true","olmo_8794040_18","false","/n/netscratch/sham_lab/Lab/chloe00/ckpts/flops_bfloat16_bfloat16_18/","1000","100000","1","1","true","0.1","cosine_with_warmup","344","steps","false","0","torch_legacy","1","google-t5/t5-base","right","512","14726.66015625","","","","","","","","","","","","","","","","","","","","5.8155293464660645","false"
"bfloat32","","","1.7491812705993652","4.051648810989401","134124288","543424512","437344829577312000","32100","128","0.0008","finished","-","","watching","2025-04-02T19:56:33.000Z","502","","50","default","10","true","false","false","uint16","algebraic-stack","16","right","/n/holylfs06/LABS/kempner_shared/Everyone/testbed/text/redpajama-v1/tokenized/t5-base/arxiv","true","true","16","0","t5-base","false","64","32","0","false","207","false","100","[{""sft"":false,""data"":{""timeout"":0,""num_workers"":0,""weighted_paths"":null,""load_extra_data_to_ram"":false,""name"":null,""seed"":null,""datasets"":{""redpajama_val"":""redpajama-val""},""drop_last"":true,""extra_data_paths"":null,""label_mask_paths"":null,""persistent_workers"":false,""index_path"":null,""memmap_dtype"":""uint16"",""generate_attention_mask"":false,""paths"":null,""pin_memory"":false,""pad_direction"":""right"",""extra_data_key"":null,""tokenizer_used"":null,""prefetch_factor"":null},""label"":""redpajama"",""sft_use_label"":false,""device_eval_batch_size"":null,""type"":""lm"",""ce_wrapper"":false,""ctx_ce_wrapper"":false,""subset_num_batches"":null}]","10","mixed","FULL_SHARD","true","1","false","","2073","1","bfloat16","gelu","false","0","8","true","true","false","1","sequential","512","768","0","32100","2","false","false","meta","mitchell","0.02","default","true","4","false","12","12","0","amp_bf16","0","true","true","false","bfloat16","false","false","amp_bf16","false","true","false","false","true","olmo_8794040_17","false","/n/netscratch/sham_lab/Lab/chloe00/ckpts/flops_bfloat16_bfloat16_17/","1000","100000","1","1","true","0.1","cosine_with_warmup","414","steps","false","0","torch_legacy","1","google-t5/t5-base","right","512","13333.177734375","","","","","","","","","","","","","","","","","","","","5.749893665313721","false"
"bfloat32","","","1.737876534461975","5.968331554413237","110508992","659554304","437344829577312000","32100","128","0.0008","finished","-","","watching","2025-04-02T19:49:14.000Z","527","","50","default","10","true","false","false","uint16","algebraic-stack","16","right","/n/holylfs06/LABS/kempner_shared/Everyone/testbed/text/redpajama-v1/tokenized/t5-base/arxiv","true","true","16","0","t5-base","false","64","32","0","false","251","false","100","[{""data"":{""seed"":null,""drop_last"":true,""index_path"":null,""num_workers"":0,""extra_data_key"":null,""prefetch_factor"":null,""load_extra_data_to_ram"":false,""datasets"":{""redpajama_val"":""redpajama-val""},""pad_direction"":""right"",""weighted_paths"":null,""paths"":null,""timeout"":0,""tokenizer_used"":null,""extra_data_paths"":null,""persistent_workers"":false,""name"":null,""pin_memory"":false,""memmap_dtype"":""uint16"",""label_mask_paths"":null,""generate_attention_mask"":false},""type"":""lm"",""sft_use_label"":false,""device_eval_batch_size"":null,""sft"":false,""label"":""redpajama"",""ce_wrapper"":false,""ctx_ce_wrapper"":false,""subset_num_batches"":null}]","10","mixed","FULL_SHARD","true","1","false","","2516","1","bfloat16","gelu","false","0","8","true","true","false","1","sequential","512","704","0","32100","2","false","false","meta","mitchell","0.02","default","true","4","false","11","11","0","amp_bf16","0","true","true","false","bfloat16","false","false","amp_bf16","false","true","false","false","true","olmo_8794040_16","false","/n/netscratch/sham_lab/Lab/chloe00/ckpts/flops_bfloat16_bfloat16_16/","1000","100000","1","1","true","0.1","cosine_with_warmup","503","steps","false","0","torch_legacy","1","google-t5/t5-base","right","512","12055.013671875","","","","","","","","","","","","","","","","","","","","5.685258388519287","false"
"bfloat32","","","1.7313299179077148","8.969024644812235","90138240","808452096","437344829577312000","32100","128","0.0008","finished","-","","watching","2025-04-02T19:44:14.000Z","547","","50","default","10","true","false","false","uint16","algebraic-stack","16","right","/n/holylfs06/LABS/kempner_shared/Everyone/testbed/text/redpajama-v1/tokenized/t5-base/arxiv","true","true","16","0","t5-base","false","64","32","0","false","308","false","100","[{""sft"":false,""data"":{""timeout"":0,""pin_memory"":false,""weighted_paths"":null,""generate_attention_mask"":false,""seed"":null,""num_workers"":0,""memmap_dtype"":""uint16"",""pad_direction"":""right"",""extra_data_key"":null,""extra_data_paths"":null,""persistent_workers"":false,""load_extra_data_to_ram"":false,""datasets"":{""redpajama_val"":""redpajama-val""},""index_path"":null,""prefetch_factor"":null,""name"":null,""paths"":null,""drop_last"":true,""tokenizer_used"":null,""label_mask_paths"":null},""sft_use_label"":false,""ctx_ce_wrapper"":false,""subset_num_batches"":null,""device_eval_batch_size"":null,""type"":""lm"",""label"":""redpajama"",""ce_wrapper"":false}]","10","mixed","FULL_SHARD","true","1","false","","3084","1","bfloat16","gelu","false","0","8","true","true","false","1","sequential","512","640","0","32100","2","false","false","meta","mitchell","0.02","default","true","4","false","10","10","0","amp_bf16","0","true","true","false","bfloat16","false","false","amp_bf16","false","true","false","false","true","olmo_8794040_15","false","/n/netscratch/sham_lab/Lab/chloe00/ckpts/flops_bfloat16_bfloat16_15/","1000","100000","1","1","true","0.1","cosine_with_warmup","616","steps","false","0","torch_legacy","1","google-t5/t5-base","right","512","10889.1416015625","","","","","","","","","","","","","","","","","","","","5.648160457611084","false"
